B01698,LUEN SING SECURITIES LTD
B01699,元富證券(香港)有限公司
B01700,滙信理財有限公司
B01701,SHUI CHEUNG SECURITIES LTD
B01702,貝格隆証券有限公司
B01703,CROWN RICH SECURITIES (H.K.) LTD
B01704,匯通永利亞洲有限公司
B01705,恒億證券有限公司
B01706,文漢揚証券有限公司
B01707,PAK LEE STOCK CO LTD
B01708,羅沙證券有限公司
B01709,RPS INVESTMENT LTD
B01710,富泰中順證券期貨有限公司
B01711,UNI-ALPHA SECURITIES LTD
B01712,華生證券有限公司
B01713,TRUSTFUL SECURITIES LTD
B01714,聯合證券有限公司
B01715,統一證券(香港)有限公司
B01716,東方匯財證券有限公司
B01717,高銀(證券)有限公司
